tenure_in_months,number_of_referrals,total_revenue,contract,offer,online_security,premium_tech_support,device_protection_plan,customer_status
9,2,974.81,One Year,None,No,Yes,No,Stayed
9,0,610.28,Month-to-Month,None,No,No,No,Stayed
4,0,415.45,Month-to-Month,Offer E,No,No,Yes,Churned
13,1,1599.51,Month-to-Month,Offer D,No,No,Yes,Churned
3,3,289.54,Month-to-Month,None,No,Yes,No,Churned
9,0,722.38,Month-to-Month,Offer E,No,Yes,No,Stayed
71,1,8611.41,Two Year,Offer A,Yes,Yes,Yes,Stayed
63,8,6214.28,Two Year,Offer B,Yes,Yes,No,Stayed
7,0,414.06,Two Year,Offer E,Yes,No,No,Stayed
65,3,7807.8,Two Year,None,Yes,Yes,Yes,Stayed
54,0,2460.55,Two Year,None,Yes,Yes,No,Stayed
72,2,9609.47,Two Year,None,Yes,Yes,Yes,Stayed
5,0,444.75,Month-to-Month,None,No,No,No,Stayed
72,0,7423.25,Two Year,Offer A,Yes,No,Yes,Stayed
56,0,2560.1,Two Year,None,Yes,Yes,Yes,Stayed
71,9,8784.86,Two Year,Offer A,No,No,Yes,Stayed
34,0,1993.2,One Year,None,Yes,Yes,Yes,Stayed
45,0,3271.65,One Year,None,Yes,No,Yes,Churned
1,0,25.1,Month-to-Month,None,No,No,No,Churned
50,0,2877.8,One Year,None,No Internet,No Internet,No Internet,Stayed
13,1,1781.88,Month-to-Month,None,No,No,Yes,Churned
23,1,2652.88,Month-to-Month,Offer D,No,No,No,Stayed
4,0,126.07,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
1,1,30.5,Month-to-Month,None,Yes,No,No,Churned
55,10,7603.95,One Year,None,No,Yes,Yes,Stayed
54,3,2154.4,Two Year,None,No Internet,No Internet,No Internet,Stayed
26,0,1430.8,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
69,5,4045.81,Two Year,None,No Internet,No Internet,No Internet,Stayed
37,1,4838.92,One Year,Offer C,No,No,No,Stayed
49,5,3330.32,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
66,9,10830.97,One Year,None,Yes,Yes,Yes,Stayed
67,0,2861.91,One Year,None,No Internet,No Internet,No Internet,Stayed
20,4,825.4,Two Year,None,Yes,Yes,Yes,Stayed
43,0,2387.67,Two Year,None,No Internet,No Internet,No Internet,Stayed
55,2,5239.0,Month-to-Month,Offer B,Yes,No,No,Stayed
59,4,6564.66,Month-to-Month,Offer B,Yes,No,No,Stayed
12,3,455.86,Two Year,None,No Internet,No Internet,No Internet,Stayed
27,7,2611.02,Month-to-Month,Offer C,No,No,No,Stayed
2,0,179.08,Month-to-Month,None,Yes,No,No,Churned
27,0,3399.52,One Year,Offer C,No,Yes,Yes,Stayed
25,1,1178.43,Two Year,None,No Internet,No Internet,No Internet,Stayed
25,5,1727.35,One Year,None,Yes,No,Yes,Stayed
29,0,1230.19,Month-to-Month,None,Yes,Yes,Yes,Stayed
72,5,8646.12,Two Year,None,No,Yes,Yes,Stayed
14,0,1064.41,One Year,None,No,No,No,Stayed
35,0,4806.7,One Year,Offer C,No,Yes,Yes,Stayed
29,0,2687.05,Month-to-Month,None,No,Yes,No,Stayed
64,0,5958.91,One Year,None,Yes,Yes,Yes,Stayed
39,1,4718.22,Month-to-Month,None,No,Yes,No,Stayed
40,0,5439.2,Two Year,None,No,No,No,Stayed
40,0,5544.45,Month-to-Month,None,No,No,Yes,Churned
11,0,1367.79,Month-to-Month,Offer D,No,No,No,Churned
6,10,570.51,Month-to-Month,Offer E,No,No,No,Stayed
30,0,1967.65,Month-to-Month,None,Yes,No,No,Stayed
27,0,1087.62,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
70,3,10067.14,One Year,None,No,No,Yes,Stayed
57,10,6709.27,One Year,Offer B,No,Yes,Yes,Stayed
58,10,3933.78,One Year,None,No,No,Yes,Stayed
16,0,1623.46,Month-to-Month,None,No,No,Yes,Stayed
69,3,10840.73,Two Year,Offer A,Yes,Yes,Yes,Stayed
1,0,51.62,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
1,0,140.46,Month-to-Month,None,No,No,Yes,Churned
32,9,3880.97,One Year,Offer C,No,No,No,Stayed
16,8,2221.56,Month-to-Month,Offer D,No,No,Yes,Stayed
49,1,5997.3,One Year,Offer B,Yes,Yes,Yes,Churned
71,2,4145.9,Two Year,Offer A,No,Yes,Yes,Stayed
33,0,5285.27,Month-to-Month,None,No,No,Yes,Stayed
10,9,683.75,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
21,1,3198.56,Month-to-Month,None,No,Yes,Yes,Churned
37,1,1448.8,Month-to-Month,None,Yes,No,Yes,Churned
26,0,3070.89,Month-to-Month,None,Yes,No,No,Stayed
50,0,1748.9,One Year,Offer B,Yes,Yes,No,Stayed
7,0,698.56,Month-to-Month,None,No,No,No,Churned
61,1,8405.34,Two Year,Offer B,Yes,Yes,Yes,Stayed
15,0,2242.75,Month-to-Month,Offer D,No,Yes,Yes,Churned
26,0,1147.0,Month-to-Month,None,Yes,Yes,No,Stayed
72,9,9139.19,Month-to-Month,None,No,No,Yes,Stayed
44,1,2070.65,One Year,None,No Internet,No Internet,No Internet,Stayed
66,0,9200.36,Month-to-Month,Offer A,No,No,No,Stayed
2,0,255.27,Month-to-Month,None,Yes,Yes,No,Churned
44,0,3589.82,One Year,None,No,Yes,Yes,Stayed
12,0,1224.96,Month-to-Month,Offer D,No,No,No,Churned
69,1,8904.54,Two Year,None,No,Yes,Yes,Stayed
1,0,81.43,Month-to-Month,Offer E,No,No,No,Churned
3,0,141.0,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
27,0,2481.24,Two Year,None,No,No,Yes,Stayed
26,0,858.09,Month-to-Month,Offer C,No Internet,No Internet,No Internet,Stayed
39,9,4735.0,Month-to-Month,None,No,Yes,No,Stayed
25,0,3234.1,Month-to-Month,None,No,No,No,Churned
1,0,110.71,Month-to-Month,Offer E,No,No,No,Churned
22,1,1751.98,Month-to-Month,Offer D,Yes,Yes,No,Churned
72,0,11979.34,Two Year,Offer A,Yes,Yes,Yes,Stayed
24,0,725.56,Two Year,None,No Internet,No Internet,No Internet,Stayed
19,8,1713.36,Month-to-Month,None,No,No,No,Stayed
71,2,2500.75,Two Year,None,No Internet,No Internet,No Internet,Stayed
33,7,4524.65,One Year,None,Yes,Yes,Yes,Stayed
47,7,4068.68,Month-to-Month,None,No,No,No,Stayed
62,2,6934.77,Two Year,None,Yes,Yes,Yes,Stayed
71,0,8514.03,One Year,None,Yes,Yes,Yes,Stayed
7,8,899.24,Two Year,None,No,No,No,Stayed
27,6,3232.17,Month-to-Month,Offer C,Yes,No,No,Stayed
25,0,844.45,Two Year,Offer C,Yes,Yes,No,Stayed
30,0,3269.6,One Year,None,Yes,No,No,Stayed
